300,250
1,96.02412,26.87381,0,0,0
2,10.15839,89.00432,148.0916,147.5353,155.9779
3,48.23838,132.9944,45.71068,141.8015,18.57737
4,43.29261,78.73053,94.69477,196.8197,212.9804
5,30.66206,161.0736,64.01679,64.98686,207.1752
6,30.44922,141.9838,4.333733,125.0905,154.6706
7,100.8496,169.4125,81.64292,102.3361,243.1748
8,16.45692,12.71621,247.0448,215.4291,165.7059
9,77.20012,37.3344,56.17095,62.63609,145.3504
10,33.07442,96.08279,151.4583,125.7051,23.03172
11,86.86622,38.23183,72.14174,232.8916,179.9743
12,100.1444,73.16254,46.17087,27.55644,187.3127
13,6.222607,141.0343,45.14583,2.826261,69.17192
14,53.86108,97.13487,13.65288,141.7259,236.006
15,54.30332,94.75965,99.34135,159.6835,172.4685
16,111.9372,78.77346,162.2528,65.86762,29.03852
17,60.83582,77.49047,209.247,26.81487,137.9928
18,109.0826,38.27989,161.814,48.05162,246.0874
19,59.54743,144.393,134.4487,141.0466,58.35138
20,129.8256,104.8363,204.4057,163.182,105.2993
21,10.8128,159.3985,155.7997,149.7337,221.8532
22,115.0923,28.69642,87.39536,185.0681,230.7426
23,115.5471,144.4878,17.46908,167.8638,112.7845
24,63.39807,109.4647,49.08588,151.8872,96.70357
25,62.46512,48.37529,139.8655,35.13063,247.4671
26,92.88962,130.0123,101.2718,248.3524,16.27374
27,97.81374,43.88327,1.297359,73.57044,166.8826
28,61.17437,142.9251,21.39189,12.61252,136.0083
29,1.188217,56.77464,150.6751,94.81893,194.2542
30,2.669134,116.7621,3.162503,123.4713,232.6794
31,60.83056,69.06329,39.50945,125.5781,8.396855
32,19.71991,10.53583,99.95061,229.6511,120.5737
33,61.27363,0.9265998,205.9201,125.8674,52.95605
34,119.898,33.78832,225.2204,239.3632,212.5146
35,103.7604,59.93655,17.48072,229.8497,238.423
36,111.5564,159.2206,111.5768,203.3865,28.30406
37,70.0785,20.32295,78.55954,99.40357,116.5792
38,5.278674,106.7154,238.3458,111.2727,164.9274
39,81.45417,148.2716,167.6218,166.1232,41.68297
40,78.736,109.4546,232.2158,82.22643,94.4734
41,115.4973,79.46126,89.02017,78.3662,3.470847
42,59.67648,31.56802,59.95064,227.6611,123.7455
43,58.28022,131.6148,51.00893,177.5886,115.3267
44,106.0865,101.4619,41.81399,137.1416,138.1807
45,121.0005,136.347,142.1048,152.4966,64.09432
46,10.98211,36.15208,243.1494,21.59783,226.2397
47,0.6525004,40.76468,117.4987,7.179509,57.01944
48,90.22523,77.17384,35.49733,222.5835,84.31769
49,88.84121,103.8348,142.5316,131.7269,118.9695
50,119.2708,48.11396,136.8753,211.8489,62.18294
51,58.66064,9.464646,223.418,82.0722,33.09074
52,122.7894,26.78834,12.4199,123.7742,178.4298
53,14.43047,69.53765,194.1106,44.30605,16.49929
54,58.05215,110.5607,19.98253,199.1305,202.8584
55,12.14655,123.4356,245.8374,12.59971,249.9878
56,22.79234,92.70536,119.068,146.8345,147.6277
57,91.67985,132.0942,225.9482,212.263,47.95214
58,7.270641,69.26482,156.6694,33.58868,109.8099
59,68.92603,115.5665,21.80654,54.34193,241.3981
60,82.46523,31.49017,49.46379,8.021382,18.70231
61,27.50836,21.68541,83.23467,47.80429,234.6386
62,40.52879,124.1229,244.4746,87.21889,136.9253
63,18.04369,139.7754,21.67611,51.60045,24.19269
64,95.67919,68.82257,204.2379,51.33582,161.9778
65,59.26975,10.6303,163.6949,148.6703,46.82235
66,120.237,96.20646,97.02822,18.76078,125.0832
67,60.59574,24.48607,70.52412,103.0599,16.90956
68,82.57234,150.9584,173.8834,228.9497,66.88417
